,adx,minusDI,plusDI
0,44.197951746,9.15826791511,32.8218815156
1,45.2792625123,8.65498327017,33.9136162265
2,46.2663484662,8.4031224849,32.6863997691
3,45.902388915,12.2243048351,29.3344064149
4,45.3078106855,12.8028148859,28.217578965
5,43.4744465236,17.5918242937,26.1911031646
6,41.5337295912,17.4947300967,24.3108894964
7,40.0108762455,16.7318684719,25.2098829956
8,38.6517485337,16.1812433669,24.7751620782
9,37.7890729944,15.2413696714,26.2737069294
10,36.8039472787,15.2075626485,24.8109241801
11,34.8975890572,18.6692749026,22.8710506598
12,33.1273992801,18.0154342684,22.0700542448
13,31.3260179571,23.1689736422,19.7730892201
14,29.9206955066,23.3883998287,18.5069604025
15,28.6157532311,22.4813216363,17.7892003029
16,27.6772571966,22.7652527402,16.6630151292
17,26.664047172,21.8609559966,16.663160178
18,25.9906516378,22.3133934169,15.7522117007
19,25.8589600328,24.4036083335,14.9104538578
20,25.3466600046,22.8272153369,15.6391062753
21,23.6788599414,21.1298186438,20.3022304018
22,23.0653925908,19.1104136647,25.9030947993
23,22.4957443366,18.1058655373,24.5414861062
24,22.5086583562,17.0695544195,27.0814821593
25,22.9261569149,16.1672860055,28.9635080629
26,22.55403174,18.8519738898,26.9699758379
27,22.8595674452,17.0637677882,29.5786402439
28,23.1432791714,15.5997806848,27.0409388176
29,23.4067257743,14.42067145,24.9970497835
30,23.2405803309,15.0212285543,23.046079616
31,22.2563316076,17.890973119,21.6301007276
32,20.7178506701,19.6819398742,19.9664561622
33,19.9119747386,18.4391290916,22.2813451189
34,19.1636613737,17.616438247,21.2872277426
35,17.9260686999,20.3672435143,19.6323062112
36,17.3499364689,18.9548571815,23.1017279322
37,17.0141353518,17.6652568496,22.781218617
38,15.9061609051,21.5023877715,20.8658085458
39,14.8698211472,19.7020761736,20.2605151405
40,14.4180353041,21.8116051252,18.3775172245
41,15.1640471387,27.4609699236,16.5250718187
42,15.7022774617,24.858835241,15.6611041273
43,15.3066273342,23.0955804633,18.8341847622
44,14.6917923303,21.4415130582,18.7491647592
45,14.1208741123,20.1752996189,17.6419460508
46,13.5907357671,19.0650765998,16.6711305003
47,12.6449029192,18.2674013388,18.1403107913
48,13.4301176575,25.282196077,15.6149627787
49,14.1889262738,24.1547302398,14.7877296765
50,16.1975368857,32.2574374144,13.0767716405
51,18.1465360017,30.4021309912,11.975042409
52,19.9563208952,28.9344589866,11.3969436401
53,21.9604352438,30.235258069,10.619355749
54,23.1617656856,28.8166448932,12.7121629777
55,24.3552818051,28.6838841426,12.3308879187
56,25.9073756457,31.1299567816,11.489125209
57,28.0304797541,35.9514958219,10.2494980185
58,30.0019335691,34.2354933468,9.76027876441
59,31.0292716621,32.0863728315,12.3593062379
60,31.3820308271,29.6830292793,13.9787898494
61,31.8216314887,29.7992720768,13.5336396336
62,31.4776819182,27.7593034903,15.9539537158
63,30.9750789376,26.730197688,16.23015476
64,30.9672905808,29.0682495528,15.3561849628
65,31.3984112595,31.2838899683,14.3850289842
66,32.0581716692,31.493139236,13.2939002248
67,31.4695841686,29.4939684131,18.1468933659
68,30.9230386323,28.446822771,17.5026111168
69,30.63288718,28.836008648,16.6248141719
70,30.3634608314,27.4068042743,15.8008354647
71,29.7303882469,26.0416341704,16.8250964752
72,28.7467778816,24.3550873403,17.6509842138
73,28.2146704188,25.8334829822,16.7618404868
74,27.3489747695,24.5744201018,17.7606238497
75,26.5451145238,23.8146454877,17.2115133894
76,25.3470748105,22.7166964594,18.6719652641
77,24.2346093626,22.0831980302,18.1512618825
78,22.7159397522,21.0151357471,19.8015595512
79,21.3057465426,20.3876454157,19.2103053563
80,20.1239604427,19.2003331796,21.1198738658
81,20.2573228592,17.3308138507,27.1020630356
82,20.3811593888,16.4103974312,25.6627085982
83,20.8071039909,15.3065772433,26.2559757213
84,21.1755869758,14.422746616,24.539677319
85,19.8794335801,20.2684067754,21.5348099073
86,18.6758625699,18.7534241261,19.9251686698
87,17.5499617428,19.1900492087,18.1035918412
88,16.5044824034,18.3403244923,17.3019748533
89,15.3655090207,17.9550363455,17.7554663991
90,15.1262981672,21.2688498234,16.7056253425
91,15.4436435672,22.722285298,15.2846560958
92,14.8310443179,20.8394890355,18.1612118162
93,15.7544204178,28.6077037743,16.1763949475
94,16.8719916055,27.4886601888,14.3508724499
95,16.0340830591,24.6597661462,22.2481049258
96,15.2560251232,23.065263007,20.8095400612
97,14.7162417505,22.8895997468,19.6169925889
98,14.1212968141,20.6218793511,23.4358522363
99,15.0684960874,17.693847579,31.0375101822
