,prices,spanA,spanB
0,118.1885,117.30675,117.256
1,118.206,117.30675,117.256
2,118.1725,117.30425,117.256
3,118.0755,117.3465,117.29575
4,118.0645,117.356,117.29575
5,117.9725,117.420875,117.35025
6,118.0225,117.424,117.35025
7,118.0705,117.431125,117.35025
8,118.0785,117.46675,117.35025
9,118.116,117.47875,117.35025
10,118.0735,117.49175,117.35575
11,118.004,117.55425,117.40525
12,118.043,117.55425,117.40525
13,117.9295,117.5575,117.40525
14,117.9155,117.5575,117.40525
15,117.8865,117.629,117.47675
16,117.896,117.629,117.47675
17,117.9385,117.681,117.47675
18,117.873,117.69275,117.47675
19,117.8555,117.706375,117.47675
20,117.9135,117.706375,117.47675
21,117.9975,117.706375,117.47675
22,118.0715,117.7165,117.47675
23,118.0685,117.805,117.55175
24,118.1205,117.812125,117.55175
25,118.1475,117.88425,117.58825
26,118.0945,117.920125,117.6085
27,118.1835,117.936375,117.61725
28,118.124,117.949375,117.61725
29,118.1605,117.954375,117.61725
30,118.0955,117.96275,117.63625
31,118.048,117.982375,117.657
32,118.054,117.982375,117.657
33,118.101,117.982375,117.657
34,118.1115,118.00675,117.657
35,118.095,118.0185,117.657
36,118.171,118.02375,117.657
37,118.136,118.009625,117.657
38,118.078,118.009625,117.657
39,118.0795,118.009,117.657
40,118.034,118.015875,117.657
41,117.9865,118.008625,117.657
42,118.013,118.008625,117.657
43,118.0955,118.0155,117.71225
44,118.078,118.0015,117.71225
45,118.072,117.9895,117.71225
46,118.085,117.99,117.71225
47,118.1285,117.978625,117.71225
48,117.951,117.997125,117.71225
49,117.9435,117.997125,117.7185
50,117.853,118.009375,117.73275
51,117.812,118.016125,117.804
52,117.86,118.016125,117.828
53,117.8445,118.0195,117.843
54,117.8545,118.034,117.869
55,117.846,118.055,117.869
56,117.7895,118.07275,117.8755
57,117.727,118.067625,117.8755
58,117.7465,118.067625,117.8755
59,117.829,118.067625,117.8755
60,117.7865,118.067625,117.92425
61,117.751,118.067625,117.94775
62,117.8285,118.0645,117.975
63,117.819,118.0645,117.975
64,117.7595,118.0645,117.975
65,117.709,118.0645,117.99525
66,117.7615,118.061,118.016
67,117.808,118.049125,118.016
68,117.8005,118.049125,118.016
69,117.7895,118.049125,118.02975
70,117.8035,118.049125,118.02975
71,117.8365,118.054875,118.02975
72,117.8195,118.063,118.03075
73,117.79,118.07125,118.03075
74,117.822,118.0535,118.03075
75,117.8025,118.04975,118.03075
76,117.8285,118.0045,118.0295
77,117.8185,117.984,118.009
78,117.8565,117.984,118.009
79,117.8365,117.980875,117.99775
80,117.8635,117.980875,117.99775
81,117.916,117.980875,117.99775
82,117.887,117.92525,117.9865
83,117.926,117.892125,117.95525
84,117.891,117.87125,117.95525
85,117.823,117.87125,117.95525
86,117.8825,117.87125,117.95525
87,117.827,117.869875,117.95525
88,117.864,117.861125,117.95525
89,117.865,117.857125,117.95525
90,117.8305,117.852875,117.95525
91,117.846,117.843875,117.94625
92,117.833,117.843875,117.94625
93,117.77,117.843875,117.94625
94,117.8205,117.84375,117.94625
95,117.9015,117.84375,117.94625
96,117.873,117.84375,117.94625
97,117.8725,117.84575,117.94625
98,117.9335,117.84575,117.94625
99,118.029,117.801375,117.94625
